"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.3535,
"SWE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",36.75182,
"CHE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",21.49704,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.25284,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.89437,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.778292,
"ALB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",43.50548,
"DZA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.1465609,
"AGO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",47.97626,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.221233,
"ARM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.565959,
"AZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.631931,
"BHR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0,
"BGD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",20.68854,
"BLR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.846948,
"BEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",51.60884,
"BOL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.25796,
"BIH","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",23.48952,
"BWA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",18.92153,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",44.74527,
"BRN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.003670864,
"BGR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.19233,
"KHM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",51.85241,
"CMR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",74.76318,
"CHL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",28.76839,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.363778,
"COL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",26.02241,
"COG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",56.79961,
"CRI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",46.80227,
"CIV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",62.68168,
"HRV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",25.55097,
"CUB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",19.34134,
"CYP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.523254,
"COD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",97.62287,
"DOM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",12.39925,
"ECU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",15.95599,
"EGY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.096243,
"SLV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",46.84055,
"ERI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",72.37273,
"EST","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",18.75646,
"ETH","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",90.72915,
"GAB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",76.63611,
"GEO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",23.7945,
"GHA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",43.88182,
"GTM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",63.43724,
"HTI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",75.36198,
"HND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",48.9213,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",22.89957,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",25.55766,
"IRN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.7090362,
"IRQ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.3869388,
"ISR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.498675,
"JAM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.812523,
"JOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.499798,
"KAZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.404748,
"KEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",81.34528,
"KWT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.01415466,
"KGZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",27.06562,
"LVA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",40.18667,
"LBN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.990649,
"LBY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.468098,
"LTU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",20.46159,
"MKD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.76389,
"MYS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.40997,
"MLT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.089772,
"MDA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",19.96497,
"MNG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.11379,
"MAR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.350944,
"MOZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",79.19646,
"MMR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",52.12304,
"NAM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",21.23879,
"NIC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",58.61217,
"NER","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",76.61076,
"NGA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",78.53642,
"OMN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.001362554,
"PAK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",36.19846,
"PAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",24.69499,
"PRY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",112.6751,
"PER","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",25.07498,
"PHL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",34.0177,
"QAT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.02035267,
"ROU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",18.05551,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.512558,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.0098257,
"SEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",37.49901,
"SGP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.183776,
"SVN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",16.09406,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",6.666344,
"LKA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",44.64157,
"SDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",65.13526,
"SYR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.7118988,
"TJK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",45.02194,
"TZA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",84.27961,
"THA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",19.91524,
"TGO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",82.32565,
"TTO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.08010959,
"TUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.50633,
"TKM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.03656177,
"UKR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",4.599983,
"ARE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.3112772,
"URY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",60.47992,
"UZB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.062553,
"VEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.55658,
"VNM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",18.48077,
"YEM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.248347,
"ZMB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",81.25466,
"ZWE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",70.14179,
"WLD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.52348,
"SRB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.14502,
"MNE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",32.78355,
"G20","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",11.3789,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.3208,
"OECD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.55336,
"LAO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",61.56171,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.74235,
"G7M","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.422976,
"GNQ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",4.544288,
"MUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.45482,
"OECDE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",15.03668,
"EA19","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.19713,
