"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SLV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",49.2648,
"ERI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",74.89398,
"EST","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",18.84282,
"ETH","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",90.89101,
"GAB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",76.62637,
"GEO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",24.18331,
"GHA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",45.95742,
"GTM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",65.38396,
"HTI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",76.75902,
"HND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",47.20737,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",23.16837,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",26.79499,
"IRN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.6904598,
"IRQ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.5251764,
"ISR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",2.664162,
"JAM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.0926,
"JOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",3.965215,
"KAZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.711251,
"KEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",80.00185,
"KWT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.009120331,
"KGZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",31.8042,
"LVA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",43.96154,
"LBN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",2.537917,
"LBY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",3.360253,
"LTU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",20.85995,
"MKD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.07774,
"MYS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",3.434255,
"MLT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",4.36015,
"MDA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",20.44324,
"MNG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",3.219627,
"MAR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",8.475563,
"MOZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",79.52884,
"MMR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",51.93957,
"NAM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",22.89639,
"NIC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",56.37852,
"NER","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",77.16901,
"NGA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",76.91483,
"OMN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.001222747,
"PAK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",36.25954,
"PAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",23.43615,
"PRY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",116.5707,
"PER","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",25.12598,
"PHL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",34.60419,
"QAT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.02707411,
"ROU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",18.2145,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",2.583376,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.009529154,
"SEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",37.64933,
"SGP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.123753,
"SVN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",15.19882,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.62743,
"LKA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",42.74303,
"SDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",64.99647,
"SYR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.6617103,
"TJK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",45.39605,
"TZA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",84.35101,
"THA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",19.72035,
"TGO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",83.839,
"TTO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.08169469,
"TUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.44952,
"TKM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.03662294,
"UKR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",4.367874,
"ARE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.2207922,
"URY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",62.45932,
"UZB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.727145,
"VEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.37543,
"VNM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",20.76019,
"YEM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",4.39129,
"ZMB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",81.15386,
"ZWE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",72.92818,
"WLD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.3855,
"SRB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",12.06106,
"MNE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",25.57628,
"G20","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",11.18074,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.69057,
"OECD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.2958,
"LAO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",58.75325,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",14.18397,
"G7M","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.125314,
"GNQ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",4.612594,
"MUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",14.979,
"OECDE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",14.39195,
"EA19","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.44146,
