"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.402923,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",8.609434,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",9.628024,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",12.15508,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",12.53349,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",12.08228,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.25284,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",15.93154,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",16.24106,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",8.0501,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",8.585207,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.656305,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.89437,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",12.22481,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",13.91001,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",6.844675,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",7.169851,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",7.537478,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.778292,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",7.903494,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",8.495673,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",7.364779,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",7.267355,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",8.055003,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.221233,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",8.571218,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",8.491999,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",40.45125,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",42.57958,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",42.31983,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",44.74527,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",45.62274,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",47.84661,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",8.464109,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",8.919158,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.178692,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.363778,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",9.673476,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",22.47036,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",23.09663,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",23.16837,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",22.89957,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",23.13485,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",27.22195,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",27.19646,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",26.79499,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",25.55766,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",23.87954,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",2.530034,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",2.657944,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",2.583376,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.512558,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",2.580188,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",2.887775,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",0.008580561,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",0.008643851,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.009529154,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.0098257,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",0.02095274,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",6.562798,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",6.340517,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.62743,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",6.666344,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",6.586925,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",13.3609,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",13.52594,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.69057,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.3208,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",15.12914,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",14.04598,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",14.15034,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",14.18397,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.74235,
"EU27_2020","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",15.48243,
